Date,Supplier_ID,Supplier_Name,SKU,On_Time_Delivery_Pct,Defect_Rate_Pct,Reliability_Score,Status,Avg_Lead_Time_Days,Last_Shipment_Units
2026-03-21,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,94.5,1.2,0.92,Active,12,200
2026-03-28,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,95.1,1.1,0.93,Active,12,200
2026-04-04,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,94.8,1.3,0.92,Active,12,200
2026-04-11,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,93.7,1.5,0.91,Active,13,200
2026-04-18,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,92.9,1.4,0.91,Active,13,200
2026-04-25,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,93.5,1.2,0.92,Active,13,200
2026-05-02,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,92.3,1.6,0.91,Active,13,200
2026-05-05,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,91.1,1.8,0.90,Active,14,200
2026-05-08,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,88.2,2.1,0.86,Active,16,180
2026-05-10,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,84.5,2.4,0.81,Active,18,150
2026-05-12,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,79.0,2.8,0.76,Watch,21,120
2026-05-14,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,72.4,3.1,0.71,Watch,24,80
2026-05-16,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,65.8,3.5,0.65,Delayed,27,0
2026-05-18,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,61.2,3.9,0.61,Delayed,30,0
2026-05-19,SUP-104,Karachi Industrial Adhesives Ltd,SKU-1234,61.0,3.9,0.61,Delayed,30,0
2026-04-12,SUP-209,Lahore PolyChem Industries,SKU-1240,96.0,0.8,0.95,Active,9,300
2026-04-19,SUP-209,Lahore PolyChem Industries,SKU-1240,95.4,0.9,0.94,Active,9,300
2026-04-26,SUP-209,Lahore PolyChem Industries,SKU-1240,96.1,0.7,0.95,Active,9,300
2026-05-03,SUP-209,Lahore PolyChem Industries,SKU-1240,95.8,0.8,0.95,Active,9,300
2026-05-10,SUP-209,Lahore PolyChem Industries,SKU-1240,95.0,0.9,0.94,Active,10,300
2026-05-17,SUP-209,Lahore PolyChem Industries,SKU-1240,94.6,1.0,0.93,Active,10,300
2026-04-15,SUP-318,Punjab Sealants Co,SKU-1235,89.5,1.4,0.88,Active,11,500
2026-04-22,SUP-318,Punjab Sealants Co,SKU-1235,90.1,1.3,0.89,Active,11,500
2026-04-29,SUP-318,Punjab Sealants Co,SKU-1235,90.8,1.2,0.90,Active,11,500
2026-05-06,SUP-318,Punjab Sealants Co,SKU-1235,90.5,1.3,0.89,Active,12,500
2026-05-13,SUP-318,Punjab Sealants Co,SKU-1235,89.7,1.4,0.89,Active,12,500
2026-04-20,SUP-422,Sindh Bonding Materials,SKU-1234,91.0,1.5,0.90,Backup,15,150
2026-05-05,SUP-422,Sindh Bonding Materials,SKU-1234,90.5,1.6,0.89,Backup,15,150
2026-05-15,SUP-422,Sindh Bonding Materials,SKU-1234,90.0,1.7,0.89,Backup,16,150
2026-05-19,SUP-422,Sindh Bonding Materials,SKU-1234,89.5,1.7,0.88,Backup,16,150
